"X1","year","state","state_abbr","county","fips_code","dem","gop","oth"
1,2012,"Alabama","AL","Autauga","01001",6363,17379,231
2,2012,"Alabama","AL","Baldwin","01003",18424,66016,1051
3,2012,"Alabama","AL","Barbour","01005",5912,5550,55
4,2012,"Alabama","AL","Bibb","01007",2202,6132,86
5,2012,"Alabama","AL","Blount","01009",2970,20757,333
6,2012,"Alabama","AL","Bullock","01011",4061,1251,10
7,2012,"Alabama","AL","Butler","01013",4374,5087,41
8,2012,"Alabama","AL","Calhoun","01015",15511,30278,575
9,2012,"Alabama","AL","Chambers","01017",6871,7626,132
10,2012,"Alabama","AL","Cherokee","01019",2132,7506,154
11,2012,"Alabama","AL","Chilton","01021",3397,13932,156
12,2012,"Alabama","AL","Choctaw","01023",3786,4152,38
13,2012,"Alabama","AL","Clarke","01025",6334,7470,56
14,2012,"Alabama","AL","Clay","01027",1777,4817,85
15,2012,"Alabama","AL","Cleburne","01029",971,5272,76
16,2012,"Alabama","AL","Coffee","01031",4925,14666,230
17,2012,"Alabama","AL","Colbert","01033",9166,13936,342
18,2012,"Alabama","AL","Conecuh","01035",3555,3439,31
19,2012,"Alabama","AL","Coosa","01037",2191,3049,42
20,2012,"Alabama","AL","Covington","01039",3158,12153,128
21,2012,"Alabama","AL","Crenshaw","01041",2050,4331,43
22,2012,"Alabama","AL","Cullman","01043",5052,28999,504
23,2012,"Alabama","AL","Dale","01045",5286,13108,207
24,2012,"Alabama","AL","Dallas","01047",14612,6288,64
25,2012,"Alabama","AL","DeKalb","01049",5239,18331,380
26,2012,"Alabama","AL","Elmore","01051",8954,26253,339
27,2012,"Alabama","AL","Escambia","01053",5489,9287,118
28,2012,"Alabama","AL","Etowah","01055",12803,29130,691
29,2012,"Alabama","AL","Fayette","01057",1817,6054,87
30,2012,"Alabama","AL","Franklin","01059",3171,7567,143
31,2012,"Alabama","AL","Geneva","01061",2039,9175,117
32,2012,"Alabama","AL","Greene","01063",4521,804,18
33,2012,"Alabama","AL","Hale","01065",5411,3210,26
34,2012,"Alabama","AL","Henry","01067",3083,5628,55
35,2012,"Alabama","AL","Houston","01069",12367,29270,347
36,2012,"Alabama","AL","Jackson","01071",5822,14439,371
37,2012,"Alabama","AL","Jefferson","01073",159876,141683,2964
38,2012,"Alabama","AL","Lamar","01075",1646,5457,73
39,2012,"Alabama","AL","Lauderdale","01077",12511,23911,610
40,2012,"Alabama","AL","Lawrence","01079",5069,8874,205
41,2012,"Alabama","AL","Lee","01081",21381,32194,921
42,2012,"Alabama","AL","Limestone","01083",9829,25295,416
43,2012,"Alabama","AL","Lowndes","01085",5747,1756,20
44,2012,"Alabama","AL","Macon","01087",9045,1331,20
45,2012,"Alabama","AL","Madison","01089",62015,90884,2529
46,2012,"Alabama","AL","Marengo","01091",6167,5336,40
47,2012,"Alabama","AL","Marion","01093",2249,9697,183
48,2012,"Alabama","AL","Marshall","01095",6299,25867,478
49,2012,"Alabama","AL","Mobile","01097",78760,94893,1487
